OrderID,OrderDate,Region,State,SalesChannel,Product,Quantity,Sales,Profit,Employee,DeliveryDays
22,2020-01-01 21:00:00,Midwest,California,Distributor,Festive,5,1000,200,Carl N.,3
23,2020-01-01 22:00:00,Northeast,Michigan,In-Store,Cookware,4,500,100,Donald R.,6
24,2020-01-01 23:00:00,West,Arizona,Wholesale,Furniture Cushions,1,50,10,Keith G.,4
25,2020-01-02 00:00:00,West,Ohio,Wholesale,Dinnerware,1,50,10,Shawn W.,8
26,2020-01-02 01:00:00,Northeast,California,In-Store,Floor Lamps,3,200,40,Joshua B.,7
27,2020-01-02 02:00:00,Northeast,Michigan,In-Store,Floor Lamps,3,200,40,Joshua B.,6
28,2020-01-02 03:00:00,Northeast,Illinois,In-Store,Cookware,2,100,20,Donald R.,3
29,2020-01-02 04:00:00,West,Colorado,Wholesale,Furniture Cushions,4,500,100,Keith G.,3
30,2020-01-02 05:00:00,West,Florida,Wholesale,Dinnerware,4,500,100,Shawn W.,5
31,2020-01-02 06:00:00,Midwest,Ohio,Distributor,Festive,3,200,40,Carl N.,5
32,2020-01-02 07:00:00,Midwest,Illinois,Distributor,Computers,4,500,100,Nicholas C.,4
33,2020-01-02 08:00:00,West,New York,Wholesale,Dinnerware,4,500,100,Shawn W.,6
34,2020-01-02 09:00:00,Northeast,Illinois,In-Store,Cookware,1,50,10,Donald R.,6
35,2020-01-02 10:00:00,Northeast,Colorado,In-Store,Floor Lamps,3,200,40,Joshua B.,8
36,2020-01-02 11:00:00,Midwest,New York,Distributor,Festive,5,1000,200,Carl N.,8
37,2020-01-02 12:00:00,West,Ohio,Wholesale,Dinnerware,3,200,40,Shawn W.,8
38,2020-01-02 13:00:00,Midwest,Colorado,Distributor,Computers,5,1000,200,Nicholas C.,5
39,2020-01-02 14:00:00,Midwest,Texas,Distributor,Computers,1,50,10,Nicholas C.,6
40,2020-01-02 15:00:00,South,Florida,Online,Dining Furniture,2,100,20,Joe P.,6
41,2020-01-02 16:00:00,South,Ohio,Online,Dining Furniture,4,500,100,Joe P.,3
42,2020-01-02 17:00:00,South,Texas,Online,Floral,1,50,10,Douglas T.,5
43,2020-01-02 18:00:00,Northeast,Michigan,In-Store,Cookware,4,500,100,Donald R.,7
44,2020-01-02 19:00:00,West,Ohio,Wholesale,Furniture Cushions,2,100,20,Keith G.,5
45,2020-01-02 20:00:00,West,Michigan,Wholesale,Dinnerware,2,100,20,Shawn W.,7
46,2020-01-02 21:00:00,West,New York,Wholesale,Dinnerware,1,50,10,Shawn W.,3
47,2020-01-02 22:00:00,West,Texas,Wholesale,Furniture Cushions,2,100,20,Keith G.,4
48,2020-01-02 23:00:00,South,Florida,Online,Floral,5,1000,200,Douglas T.,6
49,2020-01-03 00:00:00,Northeast,Colorado,In-Store,Floor Lamps,2,100,20,Joshua B.,3
50,2020-01-03 01:00:00,Northeast,Georgia,In-Store,Floor Lamps,4,500,100,Joshua B.,6
51,2020-01-03 02:00:00,South,Illinois,Online,Floral,4,500,100,Douglas T.,8
52,2020-01-03 03:00:00,Northeast,California,In-Store,Floor Lamps,4,500,100,Joshua B.,4
53,2020-01-03 04:00:00,South,Florida,Online,Dining Furniture,4,500,100,Joe P.,4
54,2020-01-03 05:00:00,West,Texas,Wholesale,Dinnerware,5,1000,200,Shawn W.,3
55,2020-01-03 06:00:00,South,Georgia,Online,Floral,3,200,40,Douglas T.,4
56,2020-01-03 07:00:00,West,Florida,Wholesale,Dinnerware,1,50,10,Shawn W.,7
57,2020-01-03 08:00:00,West,Texas,Wholesale,Furniture Cushions,4,500,100,Keith G.,4
58,2020-01-03 09:00:00,Midwest,Arizona,Distributor,Computers,2,100,20,Nicholas C.,6
59,2020-01-03 10:00:00,South,Arizona,Online,Dining Furniture,4,500,100,Joe P.,6
60,2020-01-03 11:00:00,Midwest,Michigan,Distributor,Festive,2,100,20,Carl N.,6
61,2020-01-03 12:00:00,South,Florida,Online,Dining Furniture,2,100,20,Joe P.,6
62,2020-01-03 13:00:00,South,Arizona,Online,Floral,4,500,100,Douglas T.,7
63,2020-01-03 14:00:00,Midwest,Texas,Distributor,Festive,5,1000,200,Carl N.,5
64,2020-01-03 15:00:00,Midwest,Michigan,Distributor,Computers,2,100,20,Nicholas C.,8
65,2020-01-03 16:00:00,South,Texas,Online,Floral,2,100,20,Douglas T.,3
66,2020-01-03 17:00:00,Northeast,Michigan,In-Store,Cookware,4,500,100,Donald R.,6
67,2020-01-03 18:00:00,West,Florida,Wholesale,Dinnerware,2,100,20,Shawn W.,4
68,2020-01-03 19:00:00,Midwest,Georgia,Distributor,Computers,2,100,20,Nicholas C.,6
69,2020-01-03 20:00:00,West,Colorado,Wholesale,Dinnerware,4,500,100,Shawn W.,4
70,2020-01-03 21:00:00,Northeast,Ohio,In-Store,Floor Lamps,4,500,100,Joshua B.,8
71,2020-01-03 22:00:00,Northeast,Georgia,In-Store,Cookware,1,50,10,Donald R.,8
72,2020-01-03 23:00:00,Northeast,New York,In-Store,Cookware,5,1000,200,Donald R.,8
73,2020-01-04 00:00:00,Midwest,Texas,Distributor,Computers,5,1000,200,Nicholas C.,4
74,2020-01-04 01:00:00,Northeast,New York,In-Store,Cookware,2,100,20,Donald R.,6
75,2020-01-04 02:00:00,Midwest,Georgia,Distributor,Festive,5,1000,200,Carl N.,8
76,2020-01-04 03:00:00,Northeast,Michigan,In-Store,Cookware,2,100,20,Donald R.,7
77,2020-01-04 04:00:00,West,Ohio,Wholesale,Dinnerware,1,50,10,Shawn W.,4
78,2020-01-04 05:00:00,West,Ohio,Wholesale,Dinnerware,4,500,100,Shawn W.,4
79,2020-01-04 06:00:00,South,California,Online,Floral,4,500,100,Douglas T.,6
80,2020-01-04 07:00:00,West,Ohio,Wholesale,Dinnerware,4,500,100,Shawn W.,4
81,2020-01-04 08:00:00,South,Colorado,Online,Floral,5,1000,200,Douglas T.,4
82,2020-01-04 09:00:00,West,Ohio,Wholesale,Dinnerware,1,50,10,Shawn W.,8
83,2020-01-04 10:00:00,Midwest,Georgia,Distributor,Festive,5,1000,200,Carl N.,6
84,2020-01-04 11:00:00,West,California,Wholesale,Furniture Cushions,5,1000,200,Keith G.,8
85,2020-01-04 12:00:00,South,Georgia,Online,Floral,1,50,10,Douglas T.,8
86,2020-01-04 13:00:00,South,Georgia,Online,Dining Furniture,1,50,10,Joe P.,6
87,2020-01-04 14:00:00,Northeast,Illinois,In-Store,Floor Lamps,1,50,10,Joshua B.,3
88,2020-01-04 15:00:00,Midwest,California,Distributor,Computers,1,50,10,Nicholas C.,8
89,2020-01-04 16:00:00,West,Georgia,Wholesale,Dinnerware,4,500,100,Shawn W.,7
90,2020-01-04 17:00:00,Northeast,Illinois,In-Store,Cookware,3,200,40,Donald R.,7
91,2020-01-04 18:00:00,West,Illinois,Wholesale,Furniture Cushions,3,200,40,Keith G.,4
92,2020-01-04 19:00:00,West,California,Wholesale,Dinnerware,1,50,10,Shawn W.,7
93,2020-01-04 20:00:00,Northeast,New York,In-Store,Cookware,3,200,40,Donald R.,4
94,2020-01-04 21:00:00,Northeast,Michigan,In-Store,Floor Lamps,3,200,40,Joshua B.,3
95,2020-01-04 22:00:00,Northeast,Colorado,In-Store,Floor Lamps,1,50,10,Joshua B.,6
96,2020-01-04 23:00:00,Northeast,Michigan,In-Store,Floor Lamps,3,200,40,Joshua B.,6
97,2020-01-05 00:00:00,Northeast,Ohio,In-Store,Cookware,5,1000,200,Donald R.,6
98,2020-01-05 01:00:00,West,Colorado,Wholesale,Dinnerware,2,100,20,Shawn W.,7
99,2020-01-05 02:00:00,Northeast,Ohio,In-Store,Floor Lamps,2,100,20,Joshua B.,3
100,2020-01-05 03:00:00,Midwest,Georgia,Distributor,Festive,1,50,10,Carl N.,7
101,2020-01-05 04:00:00,South,Texas,Online,Floral,4,500,100,Douglas T.,7
102,2020-01-05 05:00:00,Northeast,California,In-Store,Cookware,1,50,10,Donald R.,3
103,2020-01-05 06:00:00,Northeast,Colorado,In-Store,Cookware,4,500,100,Donald R.,3
104,2020-01-05 07:00:00,West,Colorado,Wholesale,Dinnerware,2,100,20,Shawn W.,3
105,2020-01-05 08:00:00,Northeast,Georgia,In-Store,Cookware,1,50,10,Donald R.,3
106,2020-01-05 09:00:00,Northeast,New York,In-Store,Cookware,5,1000,200,Donald R.,6
107,2020-01-05 10:00:00,Northeast,Illinois,In-Store,Floor Lamps,3,200,40,Joshua B.,5
108,2020-01-05 11:00:00,West,Georgia,Wholesale,Dinnerware,4,500,100,Shawn W.,5
109,2020-01-05 12:00:00,Northeast,Arizona,In-Store,Floor Lamps,3,200,40,Joshua B.,3
110,2020-01-05 13:00:00,South,Illinois,Online,Floral,3,200,40,Douglas T.,5
111,2020-01-05 14:00:00,West,California,Wholesale,Furniture Cushions,1,50,10,Keith G.,5
112,2020-01-05 15:00:00,South,Illinois,Online,Floral,3,200,40,Douglas T.,3
113,2020-01-05 16:00:00,West,New York,Wholesale,Furniture Cushions,5,1000,200,Keith G.,5
114,2020-01-05 17:00:00,Northeast,Illinois,In-Store,Floor Lamps,3,200,40,Joshua B.,7
115,2020-01-05 18:00:00,South,California,Online,Floral,1,50,10,Douglas T.,4
116,2020-01-05 19:00:00,West,New York,Wholesale,Dinnerware,5,1000,200,Shawn W.,4
117,2020-01-05 20:00:00,Midwest,Michigan,Distributor,Computers,2,100,20,Nicholas C.,3
118,2020-01-05 21:00:00,Northeast,Colorado,In-Store,Floor Lamps,3,200,40,Joshua B.,6
119,2020-01-05 22:00:00,West,Colorado,Wholesale,Furniture Cushions,1,50,10,Keith G.,3
120,2020-01-05 23:00:00,Midwest,Ohio,Distributor,Festive,2,100,20,Carl N.,6
121,2020-01-06 00:00:00,West,Michigan,Wholesale,Furniture Cushions,2,100,20,Keith G.,4
122,2020-01-06 01:00:00,Midwest,Michigan,Distributor,Festive,4,500,100,Carl N.,3
123,2020-01-06 02:00:00,Northeast,Illinois,In-Store,Cookware,5,1000,200,Donald R.,8
124,2020-01-06 03:00:00,South,Colorado,Online,Floral,3,200,40,Douglas T.,7
125,2020-01-06 04:00:00,Midwest,California,Distributor,Festive,1,50,10,Carl N.,5
126,2020-01-06 05:00:00,West,Florida,Wholesale,Furniture Cushions,4,500,100,Keith G.,6
127,2020-01-06 06:00:00,Northeast,Florida,In-Store,Cookware,5,1000,200,Donald R.,8
128,2020-01-06 07:00:00,Midwest,New York,Distributor,Computers,4,500,100,Nicholas C.,5
129,2020-01-06 08:00:00,West,Colorado,Wholesale,Dinnerware,5,1000,200,Shawn W.,5
130,2020-01-06 09:00:00,West,Colorado,Wholesale,Dinnerware,5,1000,200,Shawn W.,3
131,2020-01-06 10:00:00,West,Florida,Wholesale,Dinnerware,3,200,40,Shawn W.,5
132,2020-01-06 11:00:00,Midwest,Colorado,Distributor,Festive,5,1000,200,Carl N.,7
133,2020-01-06 12:00:00,Midwest,Illinois,Distributor,Computers,4,500,100,Nicholas C.,8
134,2020-01-06 13:00:00,Midwest,Arizona,Distributor,Festive,5,1000,200,Carl N.,5
135,2020-01-06 14:00:00,South,Texas,Online,Floral,3,200,40,Douglas T.,3
136,2020-01-06 15:00:00,Midwest,Michigan,Distributor,Festive,3,200,40,Carl N.,7
137,2020-01-06 16:00:00,Midwest,Ohio,Distributor,Computers,4,500,100,Nicholas C.,4
138,2020-01-06 17:00:00,Midwest,New York,Distributor,Computers,2,100,20,Nicholas C.,8
139,2020-01-06 18:00:00,South,Arizona,Online,Floral,2,100,20,Douglas T.,5
140,2020-01-06 19:00:00,Midwest,Florida,Distributor,Computers,5,1000,200,Nicholas C.,3
141,2020-01-06 20:00:00,West,Michigan,Wholesale,Furniture Cushions,1,50,10,Keith G.,4
142,2020-01-06 21:00:00,Midwest,Colorado,Distributor,Computers,5,1000,200,Nicholas C.,4
143,2020-01-06 22:00:00,West,Ohio,Wholesale,Dinnerware,4,500,100,Shawn W.,6
144,2020-01-06 23:00:00,West,Colorado,Wholesale,Furniture Cushions,4,500,100,Keith G.,7
145,2020-01-07 00:00:00,West,California,Wholesale,Furniture Cushions,4,500,100,Keith G.,5
146,2020-01-07 01:00:00,South,California,Online,Floral,4,500,100,Douglas T.,3
147,2020-01-07 02:00:00,South,Ohio,Online,Dining Furniture,4,500,100,Joe P.,6
148,2020-01-07 03:00:00,South,Ohio,Online,Dining Furniture,3,200,40,Joe P.,7
149,2020-01-07 04:00:00,Midwest,Florida,Distributor,Computers,2,100,20,Nicholas C.,6
150,2020-01-07 05:00:00,West,Ohio,Wholesale,Furniture Cushions,4,500,100,Keith G.,8
151,2020-01-07 06:00:00,South,Illinois,Online,Dining Furniture,1,50,10,Joe P.,7
152,2020-01-07 07:00:00,South,Colorado,Online,Dining Furniture,1,50,10,Joe P.,7
153,2020-01-07 08:00:00,Midwest,Arizona,Distributor,Computers,1,50,10,Nicholas C.,5
154,2020-01-07 09:00:00,South,Georgia,Online,Dining Furniture,1,50,10,Joe P.,7
155,2020-01-07 10:00:00,Midwest,Ohio,Distributor,Festive,3,200,40,Carl N.,6
156,2020-01-07 11:00:00,Northeast,New York,In-Store,Cookware,1,50,10,Donald R.,7
157,2020-01-07 12:00:00,South,California,Online,Floral,4,500,100,Douglas T.,5
158,2020-01-07 13:00:00,Northeast,Illinois,In-Store,Cookware,5,1000,200,Donald R.,5
159,2020-01-07 14:00:00,Midwest,Michigan,Distributor,Computers,1,50,10,Nicholas C.,8
160,2020-01-07 15:00:00,West,Georgia,Wholesale,Dinnerware,3,200,40,Shawn W.,6
161,2020-01-07 16:00:00,South,Arizona,Online,Floral,3,200,40,Douglas T.,4
162,2020-01-07 17:00:00,Midwest,Georgia,Distributor,Computers,1,50,10,Nicholas C.,4
163,2020-01-07 18:00:00,West,Ohio,Wholesale,Furniture Cushions,5,1000,200,Keith G.,7
164,2020-01-07 19:00:00,West,Florida,Wholesale,Dinnerware,1,50,10,Shawn W.,8
165,2020-01-07 20:00:00,Northeast,California,In-Store,Cookware,3,200,40,Donald R.,3
166,2020-01-07 21:00:00,Midwest,California,Distributor,Computers,2,100,20,Nicholas C.,7
167,2020-01-07 22:00:00,West,Michigan,Wholesale,Furniture Cushions,4,500,100,Keith G.,8
168,2020-01-07 23:00:00,South,Florida,Online,Floral,3,200,40,Douglas T.,6
169,2020-01-08 00:00:00,South,Colorado,Online,Floral,1,50,10,Douglas T.,6
170,2020-01-08 01:00:00,Northeast,Texas,In-Store,Floor Lamps,4,500,100,Joshua B.,6
171,2020-01-08 02:00:00,West,Illinois,Wholesale,Furniture Cushions,1,50,10,Keith G.,6
172,2020-01-08 03:00:00,Midwest,California,Distributor,Festive,1,50,10,Carl N.,6
173,2020-01-08 04:00:00,South,New York,Online,Dining Furniture,2,100,20,Joe P.,8
174,2020-01-08 05:00:00,West,California,Wholesale,Dinnerware,4,500,100,Shawn W.,8
175,2020-01-08 06:00:00,West,Georgia,Wholesale,Furniture Cushions,4,500,100,Keith G.,5
176,2020-01-08 07:00:00,Northeast,California,In-Store,Floor Lamps,2,100,20,Joshua B.,4
177,2020-01-08 08:00:00,South,California,Online,Dining Furniture,3,200,40,Joe P.,6
178,2020-01-08 09:00:00,South,Texas,Online,Dining Furniture,1,50,10,Joe P.,3
179,2020-01-08 10:00:00,Midwest,Texas,Distributor,Computers,5,1000,200,Nicholas C.,8
180,2020-01-08 11:00:00,South,Arizona,Online,Dining Furniture,1,50,10,Joe P.,3
181,2020-01-08 12:00:00,Midwest,Colorado,Distributor,Festive,1,50,10,Carl N.,3
182,2020-01-08 13:00:00,South,New York,Online,Floral,3,200,40,Douglas T.,3
183,2020-01-08 14:00:00,Northeast,California,In-Store,Floor Lamps,1,50,10,Joshua B.,5
184,2020-01-08 15:00:00,South,California,Online,Dining Furniture,2,100,20,Joe P.,8
185,2020-01-08 16:00:00,Midwest,Illinois,Distributor,Computers,2,100,20,Nicholas C.,3
186,2020-01-08 17:00:00,Midwest,Texas,Distributor,Festive,4,500,100,Carl N.,6
187,2020-01-08 18:00:00,Northeast,New York,In-Store,Cookware,5,1000,200,Donald R.,7
188,2020-01-08 19:00:00,South,Michigan,Online,Floral,1,50,10,Douglas T.,3
189,2020-01-08 20:00:00,South,Arizona,Online,Floral,1,50,10,Douglas T.,5
190,2020-01-08 21:00:00,Northeast,Colorado,In-Store,Floor Lamps,3,200,40,Joshua B.,8
191,2020-01-08 22:00:00,South,Florida,Online,Floral,2,100,20,Douglas T.,5
192,2020-01-08 23:00:00,South,Colorado,Online,Dining Furniture,5,1000,200,Joe P.,3
193,2020-01-09 00:00:00,Midwest,Georgia,Distributor,Computers,4,500,100,Nicholas C.,8
194,2020-01-09 01:00:00,South,California,Online,Floral,2,100,20,Douglas T.,7
195,2020-01-09 02:00:00,South,Arizona,Online,Floral,4,500,100,Douglas T.,3
196,2020-01-09 03:00:00,Northeast,Georgia,In-Store,Cookware,3,200,40,Donald R.,5
197,2020-01-09 04:00:00,Northeast,New York,In-Store,Cookware,3,200,40,Donald R.,4
198,2020-01-09 05:00:00,West,Florida,Wholesale,Dinnerware,1,50,10,Shawn W.,6
199,2020-01-09 06:00:00,Midwest,Texas,Distributor,Festive,5,1000,200,Carl N.,5
200,2020-01-09 07:00:00,South,Arizona,Online,Dining Furniture,4,500,100,Joe P.,8
201,2020-01-09 08:00:00,South,Arizona,Online,Floral,2,100,20,Douglas T.,3
202,2020-01-09 09:00:00,West,California,Wholesale,Furniture Cushions,3,200,40,Keith G.,6
203,2020-01-09 10:00:00,South,Ohio,Online,Floral,1,50,10,Douglas T.,3
204,2020-01-09 11:00:00,Midwest,Arizona,Distributor,Computers,1,50,10,Nicholas C.,8
205,2020-01-09 12:00:00,West,Illinois,Wholesale,Dinnerware,4,500,100,Shawn W.,3
206,2020-01-09 13:00:00,Midwest,Florida,Distributor,Festive,3,200,40,Carl N.,4
207,2020-01-09 14:00:00,West,Florida,Wholesale,Furniture Cushions,5,1000,200,Keith G.,6
208,2020-01-09 15:00:00,West,Illinois,Wholesale,Dinnerware,3,200,40,Shawn W.,6
209,2020-01-09 16:00:00,Northeast,Michigan,In-Store,Floor Lamps,4,500,100,Joshua B.,8
210,2020-01-09 17:00:00,Midwest,Illinois,Distributor,Festive,4,500,100,Carl N.,4
211,2020-01-09 18:00:00,South,Illinois,Online,Floral,3,200,40,Douglas T.,5
212,2020-01-09 19:00:00,South,Florida,Online,Floral,4,500,100,Douglas T.,3
213,2020-01-09 20:00:00,Midwest,Colorado,Distributor,Festive,3,200,40,Carl N.,7
214,2020-01-09 21:00:00,South,Florida,Online,Floral,2,100,20,Douglas T.,3
215,2020-01-09 22:00:00,South,Ohio,Online,Dining Furniture,3,200,40,Joe P.,3
216,2020-01-09 23:00:00,Midwest,California,Distributor,Festive,3,200,40,Carl N.,5
217,2020-01-10 00:00:00,West,Georgia,Wholesale,Dinnerware,4,500,100,Shawn W.,3
218,2020-01-10 01:00:00,Midwest,Colorado,Distributor,Festive,4,500,100,Carl N.,4
219,2020-01-10 02:00:00,West,Texas,Wholesale,Furniture Cushions,1,50,10,Keith G.,4
220,2020-01-10 03:00:00,South,Georgia,Online,Floral,1,50,10,Douglas T.,6
221,2020-01-10 04:00:00,South,California,Online,Dining Furniture,2,100,20,Joe P.,8
222,2020-01-10 05:00:00,South,Ohio,Online,Dining Furniture,1,50,10,Joe P.,7
223,2020-01-10 06:00:00,Northeast,Ohio,In-Store,Floor Lamps,3,200,40,Joshua B.,3
224,2020-01-10 07:00:00,West,Texas,Wholesale,Dinnerware,4,500,100,Shawn W.,3
225,2020-01-10 08:00:00,Northeast,Colorado,In-Store,Cookware,1,50,10,Donald R.,5
226,2020-01-10 09:00:00,Northeast,Michigan,In-Store,Cookware,1,50,10,Donald R.,8
227,2020-01-10 10:00:00,Midwest,Illinois,Distributor,Festive,2,100,20,Carl N.,4
228,2020-01-10 11:00:00,Northeast,Colorado,In-Store,Floor Lamps,2,100,20,Joshua B.,7
229,2020-01-10 12:00:00,Midwest,Michigan,Distributor,Computers,3,200,40,Nicholas C.,6
230,2020-01-10 13:00:00,Midwest,Ohio,Distributor,Festive,4,500,100,Carl N.,4
231,2020-01-10 14:00:00,Northeast,Florida,In-Store,Floor Lamps,2,100,20,Joshua B.,8
232,2020-01-10 15:00:00,West,California,Wholesale,Dinnerware,1,50,10,Shawn W.,6
233,2020-01-10 16:00:00,West,Texas,Wholesale,Dinnerware,4,500,100,Shawn W.,5
234,2020-01-10 17:00:00,West,California,Wholesale,Dinnerware,4,500,100,Shawn W.,5
235,2020-01-10 18:00:00,West,New York,Wholesale,Dinnerware,1,50,10,Shawn W.,3
236,2020-01-10 19:00:00,West,New York,Wholesale,Dinnerware,2,100,20,Shawn W.,8
237,2020-01-10 20:00:00,Northeast,Colorado,In-Store,Floor Lamps,1,50,10,Joshua B.,7
238,2020-01-10 21:00:00,Northeast,Ohio,In-Store,Floor Lamps,4,500,100,Joshua B.,6
239,2020-01-10 22:00:00,South,Ohio,Online,Dining Furniture,5,1000,200,Joe P.,4
240,2020-01-10 23:00:00,West,Illinois,Wholesale,Furniture Cushions,5,1000,200,Keith G.,8
241,2020-01-11 00:00:00,Northeast,Illinois,In-Store,Cookware,3,200,40,Donald R.,8
242,2020-01-11 01:00:00,South,Illinois,Online,Floral,1,50,10,Douglas T.,5
243,2020-01-11 02:00:00,West,Florida,Wholesale,Dinnerware,1,50,10,Shawn W.,3
244,2020-01-11 03:00:00,Midwest,Georgia,Distributor,Computers,3,200,40,Nicholas C.,3
245,2020-01-11 04:00:00,South,Arizona,Online,Floral,3,200,40,Douglas T.,6
246,2020-01-11 05:00:00,Northeast,Georgia,In-Store,Floor Lamps,3,200,40,Joshua B.,5
247,2020-01-11 06:00:00,Midwest,California,Distributor,Computers,4,500,100,Nicholas C.,8
248,2020-01-11 07:00:00,Midwest,Georgia,Distributor,Computers,1,50,10,Nicholas C.,7
249,2020-01-11 08:00:00,Midwest,Florida,Distributor,Computers,4,500,100,Nicholas C.,5
250,2020-01-11 09:00:00,South,California,Online,Dining Furniture,3,200,40,Joe P.,6
251,2020-01-11 10:00:00,Northeast,Georgia,In-Store,Floor Lamps,1,50,10,Joshua B.,6
252,2020-01-11 11:00:00,Midwest,Florida,Distributor,Computers,4,500,100,Nicholas C.,5
253,2020-01-11 12:00:00,West,Arizona,Wholesale,Dinnerware,4,500,100,Shawn W.,6
254,2020-01-11 13:00:00,Midwest,Georgia,Distributor,Festive,3,200,40,Carl N.,5
255,2020-01-11 14:00:00,Midwest,Florida,Distributor,Computers,1,50,10,Nicholas C.,4
256,2020-01-11 15:00:00,South,Illinois,Online,Dining Furniture,3,200,40,Joe P.,5
257,2020-01-11 16:00:00,South,Ohio,Online,Floral,1,50,10,Douglas T.,5
258,2020-01-11 17:00:00,Northeast,Illinois,In-Store,Floor Lamps,5,1000,200,Joshua B.,6
259,2020-01-11 18:00:00,West,Ohio,Wholesale,Furniture Cushions,2,100,20,Keith G.,6
260,2020-01-11 19:00:00,South,Texas,Online,Dining Furniture,2,100,20,Joe P.,3
261,2020-01-11 20:00:00,Midwest,Texas,Distributor,Computers,2,100,20,Nicholas C.,3
262,2020-01-11 21:00:00,Northeast,Texas,In-Store,Floor Lamps,3,200,40,Joshua B.,4
263,2020-01-11 22:00:00,Midwest,Arizona,Distributor,Festive,5,1000,200,Carl N.,3
264,2020-01-11 23:00:00,Midwest,Illinois,Distributor,Computers,1,50,10,Nicholas C.,5
265,2020-01-12 00:00:00,South,Ohio,Online,Dining Furniture,4,500,100,Joe P.,6
266,2020-01-12 01:00:00,Northeast,Florida,In-Store,Cookware,1,50,10,Donald R.,3
267,2020-01-12 02:00:00,West,California,Wholesale,Dinnerware,4,500,100,Shawn W.,3
268,2020-01-12 03:00:00,West,Florida,Wholesale,Furniture Cushions,1,50,10,Keith G.,4
269,2020-01-12 04:00:00,South,California,Online,Floral,5,1000,200,Douglas T.,8
270,2020-01-12 05:00:00,South,New York,Online,Dining Furniture,4,500,100,Joe P.,4
271,2020-01-12 06:00:00,Northeast,Florida,In-Store,Floor Lamps,3,200,40,Joshua B.,5
272,2020-01-12 07:00:00,West,Georgia,Wholesale,Furniture Cushions,1,50,10,Keith G.,6
273,2020-01-12 08:00:00,West,Georgia,Wholesale,Furniture Cushions,1,50,10,Keith G.,4
274,2020-01-12 09:00:00,West,Colorado,Wholesale,Furniture Cushions,4,500,100,Keith G.,3
275,2020-01-12 10:00:00,Midwest,Illinois,Distributor,Computers,3,200,40,Nicholas C.,6
276,2020-01-12 11:00:00,West,California,Wholesale,Dinnerware,3,200,40,Shawn W.,6
277,2020-01-12 12:00:00,Midwest,California,Distributor,Computers,5,1000,200,Nicholas C.,3
278,2020-01-12 13:00:00,Northeast,Illinois,In-Store,Floor Lamps,3,200,40,Joshua B.,4
279,2020-01-12 14:00:00,Midwest,Arizona,Distributor,Computers,3,200,40,Nicholas C.,3
280,2020-01-12 15:00:00,Northeast,Colorado,In-Store,Cookware,3,200,40,Donald R.,8
281,2020-01-12 16:00:00,West,Arizona,Wholesale,Dinnerware,2,100,20,Shawn W.,6
282,2020-01-12 17:00:00,West,Arizona,Wholesale,Dinnerware,5,1000,200,Shawn W.,7
283,2020-01-12 18:00:00,Northeast,Arizona,In-Store,Floor Lamps,1,50,10,Joshua B.,7
284,2020-01-12 19:00:00,South,Illinois,Online,Floral,4,500,100,Douglas T.,5
285,2020-01-12 20:00:00,Northeast,Arizona,In-Store,Cookware,1,50,10,Donald R.,3
286,2020-01-12 21:00:00,South,Georgia,Online,Dining Furniture,5,1000,200,Joe P.,3
287,2020-01-12 22:00:00,Midwest,Texas,Distributor,Computers,4,500,100,Nicholas C.,5
